watch_set frame=1500 id=1
hit=1 frame=1607 cycle=451443336 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B00 old=57803 new=-7733 type=1 width=2
first_hit_screenshot=/Users/altair/github/naruto/notes/dialogue-watch-vram-tilemap-first-hit.png
hit=2 frame=1607 cycle=451443347 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B02 old=57814 new=-7722 type=1 width=2
hit=3 frame=1607 cycle=451443358 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B04 old=57814 new=-7722 type=1 width=2
hit=4 frame=1607 cycle=451443369 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B06 old=57814 new=-7722 type=1 width=2
hit=5 frame=1607 cycle=451443380 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B08 old=57814 new=-7722 type=1 width=2
hit=6 frame=1607 cycle=451443391 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B0A old=57814 new=-7722 type=1 width=2
hit=7 frame=1607 cycle=451443402 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B0C old=57814 new=-7722 type=1 width=2
hit=8 frame=1607 cycle=451443413 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B0E old=57814 new=-7722 type=1 width=2
hit=9 frame=1607 cycle=451443424 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B10 old=57814 new=-7722 type=1 width=2
hit=10 frame=1607 cycle=451443435 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B12 old=57814 new=-7722 type=1 width=2
hit=11 frame=1607 cycle=451443446 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B14 old=57814 new=-7722 type=1 width=2
hit=12 frame=1607 cycle=451443457 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B16 old=57814 new=-7722 type=1 width=2
hit=13 frame=1607 cycle=451443468 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B18 old=57814 new=-7722 type=1 width=2
hit=14 frame=1607 cycle=451443479 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B1A old=57814 new=-7722 type=1 width=2
hit=15 frame=1607 cycle=451443490 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B1C old=57814 new=-7722 type=1 width=2
hit=16 frame=1607 cycle=451443501 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B1E old=57814 new=-7722 type=1 width=2
hit=17 frame=1607 cycle=451443512 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B20 old=57814 new=-7722 type=1 width=2
hit=18 frame=1607 cycle=451443523 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B22 old=57814 new=-7722 type=1 width=2
hit=19 frame=1607 cycle=451443534 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B24 old=57814 new=-7722 type=1 width=2
hit=20 frame=1607 cycle=451443545 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B26 old=57814 new=-7722 type=1 width=2
hit=21 frame=1607 cycle=451443556 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B28 old=57814 new=-7722 type=1 width=2
hit=22 frame=1607 cycle=451443567 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B2A old=57814 new=-7722 type=1 width=2
hit=23 frame=1607 cycle=451443578 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B2C old=57814 new=-7722 type=1 width=2
hit=24 frame=1607 cycle=451443589 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B2E old=57814 new=-7722 type=1 width=2
hit=25 frame=1607 cycle=451443600 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B30 old=57814 new=-7722 type=1 width=2
hit=26 frame=1607 cycle=451443611 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B32 old=57814 new=-7722 type=1 width=2
hit=27 frame=1607 cycle=451443622 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B34 old=57814 new=-7722 type=1 width=2
hit=28 frame=1607 cycle=451443633 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B36 old=57814 new=-7722 type=1 width=2
hit=29 frame=1607 cycle=451443644 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B38 old=57814 new=-7722 type=1 width=2
hit=30 frame=1607 cycle=451443655 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B3A old=57811 new=-7725 type=1 width=2
hit=31 frame=1607 cycle=451443819 pc=000002A0 lr=000000A4 sp=03007EAC addr=06001B40 old=57804 new=-7732 type=1 width=2
