frame=30 screenshot=auto-0030-title.png
frame=120 keys=0x8
frame=121 keys=0x8
frame=122 keys=0x8
frame=123 keys=0x8
frame=124 keys=0x8
frame=125 keys=0x8
frame=126 keys=0x8
frame=180 keys=0x0
frame=180 screenshot=auto-0180-after-start.png
frame=210 keys=0x80
frame=211 keys=0x80
frame=212 keys=0x80
frame=213 keys=0x80
frame=214 keys=0x80
frame=240 keys=0x0
frame=240 screenshot=auto-0240-after-down.png
frame=270 keys=0x1
frame=271 keys=0x1
frame=272 keys=0x1
frame=273 keys=0x1
frame=274 keys=0x1
frame=275 keys=0x1
frame=276 keys=0x1
frame=330 keys=0x0
frame=330 screenshot=auto-0330-after-a.png
