frame=30 screenshot=walk-0030-boot.png
frame=300 screenshot=walk-0300-splash.png
frame=330 keys=0x1
frame=331 keys=0x1
frame=332 keys=0x1
frame=333 keys=0x1
frame=334 keys=0x1
frame=335 keys=0x1
frame=336 keys=0x1
frame=390 keys=0x0
frame=390 screenshot=walk-0390-post-splash.png
frame=480 keys=0x8
frame=481 keys=0x8
frame=482 keys=0x8
frame=483 keys=0x8
frame=484 keys=0x8
frame=485 keys=0x8
frame=486 keys=0x8
frame=540 keys=0x0
frame=540 screenshot=walk-0540-post-start.png
frame=570 keys=0x80
frame=571 keys=0x80
frame=572 keys=0x80
frame=573 keys=0x80
frame=574 keys=0x80
frame=575 keys=0x80
frame=630 keys=0x0
frame=630 screenshot=walk-0630-post-down.png
frame=660 keys=0x1
frame=661 keys=0x1
frame=662 keys=0x1
frame=663 keys=0x1
frame=664 keys=0x1
frame=665 keys=0x1
frame=666 keys=0x1
frame=750 keys=0x0
frame=750 screenshot=walk-0750-post-a.png
